id,domain,url,lastmod,date,words,kept,reason
5f2ae3ea0e8534ab,incauthority.com,https://www.incauthority.com/blog/start-business-bad-economy/,2026-05-29,,,False,fetch_or_extract
a5807de7bf78a210,incauthority.com,https://www.incauthority.com/blog/how-to-register-your-florida-llc-using-sunbiz-org/,2026-06-16,2024-09-24,1070,True,
e60c2d105b353c76,infoverity.com,https://www.infoverity.com/blog/podcast/ep-7-enterprise-data-management-trends-part-2-modernization/,2026-01-29,2026-01-29,1024,True,
8cd285d3cf026819,infoverity.com,https://www.infoverity.com/blog/content/case-study-finance-e10-en/,2026-05-13,2026-05-13,107,False,length
8e6482c3d287cecf,infoverity.com,https://www.infoverity.com/blog/content/case-study-p360-sap-ecom-health-distributor-patterson/,2026-07-16,2026-07-16,142,False,length
13de694d58005453,infoverity.com,https://www.infoverity.com/blog/content/case-study-distribution-e11-es/,2026-05-07,2026-05-07,127,False,length
b0dbd95a31713432,infoverity.com,https://www.infoverity.com/blog/content/case-study-mdm-migration-to-cloud-e18/,2026-04-30,2026-04-30,187,False,length
c633341f78d18010,infoverity.com,https://www.infoverity.com/blog/content/es-caso-de-exito-wawanesa/,2026-07-14,2026-07-14,196,False,length
5922c82659640aaf,infoverity.com,https://www.infoverity.com/blog/podcast/ep-12-key-data-management-insights-for-the-healthcare-industry/,2026-01-29,2026-01-29,1140,True,
1abc999350f10efe,infoverity.com,https://www.infoverity.com/blog/content/caso-de-estudio-migracion-mdm-a-la-nube/,2026-04-30,2026-04-30,209,False,length
6166b9d7ff7354e7,infoverity.com,https://www.infoverity.com/blog/content/case-study-databricks-informatica-integration-healthcare/,2026-07-16,2026-07-16,180,False,length
0370b2018c716784,infoverity.com,https://www.infoverity.com/blog/content/en-schneider_case-study_lp_inf/,2026-09-07,2026-09-07,169,False,length
e882dca3d1cd28f9,infoverity.com,https://www.infoverity.com/blog/content/whitepaper-ai-high-roi-use-cases/,2026-05-13,2026-05-13,129,False,length
9f078903be29c030,infoverity.com,https://www.infoverity.com/blog/content/pim-catalog-automation-panduits-1-2b-story/,2026-07-16,2026-07-16,203,False,length
,instapainting.com,,,,,False,no_candidates (0)
,intimetec.com,,,,,False,no_candidates (0)
51d913bcc4bfac29,juliannarae.com,https://www.juliannarae.com/blog/were-seeing-double-august-and-september-are-double-rewards-months-with-julianna-raes-top-drawer-rewards-program,2023-08-01,2023-08-01,879,True,
10b1c239ddf00c45,juliannarae.com,https://www.juliannarae.com/blog/5-sexy-reasons-for-wearing-red-this-february,2023-02-03,2023-02-03,1088,True,
e0e041905dfb15fc,juliannarae.com,https://www.juliannarae.com/blog/fall-into-couch-potato-mode-fall-is-here-and-its-your-official-excuse-for-epic-napping-and-pumpkin-spice-overload,2024-10-01,2024-10-01,1215,True,
8159d32878045dbc,juliannarae.com,https://www.juliannarae.com/blog/mothers-advice-22-perfect-pearls-of-wisdom-from-mom,2026-04-29,2026-04-29,914,True,
733f4e65c2dfec91,junipersquare.com,https://www.junipersquare.com/blog/private-equity-q3-2023,2023-12-11,2023-10-18,1162,True,
f2d996eb82596995,junipersquare.com,https://www.junipersquare.com/blog/pe-q1-2024,2024-04-29,2024-04-18,1478,True,
846b0d62e6ca4e71,junipersquare.com,https://www.junipersquare.com/blog/private-equity-q2-2023,2023-12-11,2023-07-25,1267,True,
a2f4d048d1593e24,junipersquare.com,https://www.junipersquare.com/blog/chris-powers-10x,2023-12-12,2020-04-27,1061,False,before_2023
af89233011bebd09,junipersquare.com,https://www.junipersquare.com/blog/introducing-the-admin-oversight-agent,2026-07-30,2026-07-28,778,True,
